id,motif,probability,motif_index
117,54,0.0234098918735981,4
117,175,0.0037291483022272587,5
117,78,0.003728639567270875,6
118,44,0.9448942542076111,1
118,123,0.050414569675922394,2
119,26,0.9180892109870911,1
119,166,0.07992291450500488,2
121,22,0.672538697719574,1
121,44,0.3090147376060486,2
121,100,0.013701173476874828,3
121,183,0.002300432650372386,4
122,52,0.7437095642089844,1
122,16,0.2404351532459259,2
122,155,0.007559254299849272,3
123,121,0.9970946311950684,1
125,1,0.3712870180606842,1
125,165,0.24763087928295135,2
125,123,0.15031717717647552,3
125,54,0.09733929485082626,4
125,100,0.062144216150045395,5
125,92,0.044247888028621674,6
125,151,0.017749261111021042,7
126,132,0.653878927230835,1
126,21,0.2181999236345291,2
126,185,0.09357910603284836,3
127,66,0.7267751097679138,1
127,53,0.27016007900238037,2
128,69,0.45016926527023315,1
128,28,0.36293119192123413,2
128,183,0.09598631411790848,3
128,175,0.07856623828411102,4
128,78,0.007028327789157629,5
128,128,0.0034949106629937887,6
130,115,0.9264469742774963,1
130,165,0.07129313051700592,2
134,21,0.48607951402664185,1
134,60,0.22929953038692474,2
134,16,0.11007526516914368,3
134,50,0.07033209502696991,4
134,36,0.05503976717591286,5
134,65,0.045867010951042175,6
135,62,0.5205663442611694,1
135,175,0.2907067537307739,2
135,132,0.09902673959732056,3
135,95,0.06388697773218155,4
135,164,0.015986209735274315,5
135,100,0.0032902664970606565,6
135,173,0.0032617414835840464,7
136,130,0.8910240530967712,1
136,100,0.10548476129770279,2
137,60,0.7561376094818115,1
137,21,0.16601142287254333,2
137,45,0.07378597557544708,3
139,133,0.9960033893585205,1
140,16,0.3343338072299957,1
140,133,0.33097773790359497,2
140,21,0.2507632374763489,3
140,50,0.06688641756772995,4
140,144,0.013394152745604515,5
141,60,0.29768410325050354,1
141,21,0.2894727885723114,2
141,16,0.2340424805879593,3
141,107,0.11085877567529678,4
141,137,0.06570490449666977,5
142,21,0.4047783613204956,1
142,159,0.3015408515930176,2
142,16,0.15214459598064423,3
142,60,0.09510374814271927,4
142,50,0.024468712508678436,5
142,65,0.01902705989778042,6
143,98,0.7237125635147095,1
143,144,0.17233715951442719,2
143,156,0.09848558157682419,3
144,152,0.9385225176811218,1
144,50,0.02276291884481907,2
144,60,0.0152154341340065,3
144,16,0.015202987007796764,4
145,176,0.7595984935760498,1
145,175,0.18245986104011536,2
145,183,0.036969371140003204,3
145,121,0.01386786624789238,4
145,28,0.0046318224631249905,5
147,130,0.9600043892860413,1
147,100,0.026526110246777534,2
147,63,0.00530717009678483,3
147,52,0.0026680510491132736,4
147,155,0.002661401405930519,5
148,159,0.43282777070999146,1
148,21,0.2763178050518036,2
148,50,0.23159407079219818,3
148,60,0.03994450718164444,4
148,144,0.012787427753210068,5
148,75,0.0032017037738114595,6
149,152,0.9902463555335999,1
153,27,0.27812647819519043,1
153,194,0.18003857135772705,2
153,116,0.14728650450706482,3
153,7,0.081940658390522,4
153,100,0.06593131273984909,5
153,52,0.0655810683965683,6
153,33,0.06555009633302689,7
153,185,0.049184128642082214,8
153,49,0.032859910279512405,9
153,36,0.016441989690065384,10
154,123,0.5935459136962891,1
154,21,0.11893199384212494,2
154,100,0.09566647559404373,3
154,52,0.0714213103055954,4
154,60,0.04772055894136429,5
154,168,0.04761377349495888,6
155,36,0.515267014503479,1
155,21,0.4378069341182709,2
155,100,0.03498365730047226,3
155,38,0.007777410093694925,4
156,54,0.9185956120491028,1
156,116,0.06828956305980682,2
156,175,0.006383400876075029,3
157,159,0.48937585949897766,1
157,50,0.23734694719314575,2
157,21,0.21845033764839172,3
157,52,0.03572327271103859,4
157,144,0.016815992072224617,5
158,159,0.7192342877388,1
158,21,0.1958291232585907,2
158,52,0.048969071358442307,3
158,196,0.03389348089694977,4
165,52,0.9761192202568054,1
165,143,0.02013292908668518,2
166,159,0.44255292415618896,1
166,100,0.36973336338996887,2
166,36,0.11077218502759933,3
166,60,0.037244763225317,4
167,144,0.9927830100059509,1
167,89,0.005268055014312267,2
168,52,0.981324315071106,1
168,144,0.014615674503147602,2
169,52,0.7260586619377136,1
169,143,0.19506001472473145,2
169,174,0.05149861425161362,3
169,133,0.016267625615000725,4
169,21,0.008155468851327896,5
170,143,0.45216625928878784,1
170,52,0.31943535804748535,2
170,196,0.17008288204669952,3
170,174,0.03735436499118805,4
170,133,0.010380725376307964,5
170,21,0.00831814669072628,6
171,196,0.38790905475616455,1
171,52,0.3651979863643646,2
171,50,0.20451520383358002,3
171,98,0.04058663547039032,4
173,143,0.9233694672584534,1
173,52,0.07492239028215408,2
174,52,0.5632312893867493,1
174,16,0.2487718164920807,2
174,75,0.1854010969400406,3
175,54,0.6919592618942261,1
175,45,0.2623158097267151,2
175,21,0.04074743390083313,3
176,91,0.5381119251251221,1
176,183,0.39743566513061523,2
176,39,0.022223180159926414,3
176,172,0.019756829366087914,4
176,181,0.009883170016109943,5
176,175,0.00500717107206583,6
176,121,0.0024845630396157503,7
176,23,0.0024837388191372156,8
180,144,0.6120303273200989,1
180,52,0.220495343208313,2
180,50,0.10265103727579117,3
180,196,0.062725730240345,4
181,98,0.42257043719291687,1
181,144,0.3616265654563904,2
181,16,0.20318153500556946,3
181,183,0.008176568895578384,4
183,54,0.4422275722026825,1
183,44,0.2958509922027588,2
183,123,0.2553655803203583,3
183,155,0.00313379755243659,4
184,34,0.6504133343696594,1
184,52,0.3457687199115753,2
185,60,0.7487233281135559,1
185,21,0.17105872929096222,2
185,45,0.07602931559085846,3
186,60,0.40887823700904846,1
186,116,0.37855949997901917,2
186,100,0.17175869643688202,3
186,16,0.03537476807832718,4
189,146,0.5916423797607422,1
189,60,0.4042591154575348,2
191,133,0.9960594177246094,1
192,16,0.48649078607559204,1
192,144,0.4608640670776367,2
192,132,0.03850182518362999,3
193,21,0.34561723470687866,1
193,60,0.32848060131073,2
193,107,0.22849462926387787,3
193,137,0.0885581523180008,4
193,16,0.005737170577049255,5
194,54,0.9844732880592346,1
194,175,0.011422945186495781,2
195,116,0.8193166851997375,1
195,54,0.13162405788898468,2
195,152,0.03821777552366257,3
195,142,0.008494015783071518,4
197,54,0.8772177696228027,1
197,45,0.07220113277435303,2
197,155,0.03334483131766319,3
197,43,0.011226116679608822,4
199,152,0.8814478516578674,1
199,21,0.08403046429157257,2
199,116,0.025211356580257416,3
200,45,0.676659345626831,1
200,21,0.27070653438568115,2
200,54,0.02088102698326111,3
200,174,0.01566452719271183,4
200,98,0.010443957522511482,5
201,60,0.41389545798301697,1
201,100,0.20314136147499084,2
201,21,0.19135093688964844,3
201,45,0.1444801539182663,4
201,112,0.04297280311584473,5
202,60,0.39422452449798584,1
202,47,0.3625280559062958,2
202,65,0.21118761599063873,3
202,36,0.024654600769281387,4
202,50,0.0035463834647089243,5
203,142,0.5535818338394165,1
203,54,0.3919681906700134,2
203,16,0.024537235498428345,3
203,50,0.01963287964463234,4
203,167,0.004915453959256411,5
205,60,0.3448294699192047,1
205,16,0.32268133759498596,2
205,159,0.24991664290428162,3
205,50,0.06961610168218613,4
205,47,0.006340862717479467,5
205,65,0.0031771960202604532,6
206,144,0.42650601267814636,1
206,98,0.4198422431945801,2
206,89,0.0933225080370903,3
206,54,0.05668186768889427,4
209,91,0.6759523749351501,1
209,175,0.17877095937728882,2
209,18,0.11397340893745422,3
209,164,0.015553727746009827,4
209,106,0.010371522046625614,5
209,160,0.002598688006401062,6
211,49,0.9906006455421448,1
212,69,0.5992875099182129,1
212,164,0.3480655550956726,2
212,162,0.04711337760090828,3
212,4,0.002631391631439328,4
213,50,0.48731210827827454,1
213,75,0.2784649431705475,2
213,52,0.23113977909088135,3
215,168,0.321439266204834,1
215,28,0.2893233299255371,2
215,69,0.28927916288375854,3
215,164,0.06443427503108978,4
217,4,0.4770616292953491,1
217,12,0.382392942905426,2
217,199,0.10980743914842606,3
217,175,0.026610340923070908,4
222,45,0.5611115097999573,1
222,43,0.22365537285804749,2
222,21,0.1753855049610138,3
222,54,0.021969374269247055,4
222,99,0.01317046582698822,5
223,50,0.4469124674797058,1
223,75,0.3146008253097534,2
223,52,0.21759094297885895,3
223,136,0.017659474164247513,4
224,168,0.39127323031425476,1
224,69,0.21347811818122864,2
224,16,0.10696469992399216,3
224,181,0.10679429024457932,4
224,60,0.0714719146490097,5
224,73,0.0711892768740654,6
225,174,0.9473181962966919,1
225,52,0.04446782171726227,2
226,16,0.37863680720329285,1
226,12,0.3786068856716156,2
226,75,0.13631504774093628,3
226,144,0.10224787890911102,4
227,174,0.8840444087982178,1
227,50,0.04396693781018257,2
227,52,0.032992471009492874,3
227,60,0.027510210871696472,4
227,144,0.005526714958250523,5
228,135,0.787180483341217,1
228,174,0.18135537207126617,2
228,28,0.02656090073287487,3
229,174,0.4837988317012787,1
229,50,0.4411067068576813,2
229,52,0.067616306245327,3
229,146,0.0035667172633111477,4
231,60,0.47661662101745605,1
231,22,0.4627036154270172,2
231,45,0.018532849848270416,3
231,116,0.018523195758461952,4
231,98,0.009284206666052341,5
231,105,0.009272513911128044,6
233,174,0.8976120352745056,1
233,16,0.07811497151851654,2
233,50,0.007864207029342651,3
233,62,0.00783683080226183,4
234,98,0.7436690926551819,1
234,144,0.127849742770195,2
234,100,0.08732014149427414,3
234,112,0.03489578887820244,4
240,140,0.49771735072135925,1
240,174,0.4161476194858551,2
240,16,0.04083062708377838,3
240,110,0.04081305116415024,4
241,107,0.5695232152938843,1
241,137,0.17799367010593414,2
